timestamp,type,sport,match,league,market,edge_pct,confidence,suggested_stake,details
2026-04-16 11:07 UTC,ARBITRAGE,soccer,Celta Vigo vs SC Freiburg,UEFA Europa League,h2h,1.032,SURE,10.32,"{""Celta Vigo"": {""bookmaker"": ""Matchbook"", ""odds"": 1.96, ""stake_pct"": 51.55, ""stake_amount"": 515.53}, ""Draw"": {""bookmaker"": ""Betsson"", ""odds"": 4.05, ""stake_pct"": 24.95, ""stake_amount"": 249.49}, ""SC Freiburg"": {""bookmaker"": ""Smarkets"", ""odds"": 4.3, ""stake_pct"": 23.5, ""stake_amount"": 234.98}}"
2026-04-16 11:07 UTC,ARBITRAGE,soccer,Hellas Verona vs AC Milan,Serie A - Italy,h2h,0.954,SURE,9.54,"{""Hellas Verona"": {""bookmaker"": ""Betfair"", ""odds"": 7.0, ""stake_pct"": 14.42, ""stake_amount"": 144.23}, ""AC Milan"": {""bookmaker"": ""GTbets"", ""odds"": 1.65, ""stake_pct"": 61.19, ""stake_amount"": 611.9}, ""Draw"": {""bookmaker"": ""1xBet"", ""odds"": 4.14, ""stake_pct"": 24.39, ""stake_amount"": 243.87}}"
2026-04-16 11:07 UTC,ARBITRAGE,soccer,Levante vs Sevilla,La Liga - Spain,h2h,0.906,SURE,9.06,"{""Sevilla"": {""bookmaker"": ""Betfair"", ""odds"": 3.05, ""stake_pct"": 33.09, ""stake_amount"": 330.87}, ""Levante"": {""bookmaker"": ""1xBet"", ""odds"": 2.65, ""stake_pct"": 38.08, ""stake_amount"": 380.81}, ""Draw"": {""bookmaker"": ""1xBet"", ""odds"": 3.5, ""stake_pct"": 28.83, ""stake_amount"": 288.33}}"
2026-04-16 11:07 UTC,ARBITRAGE,soccer,Napoli vs Lazio,Serie A - Italy,h2h,0.88,SURE,8.8,"{""Draw"": {""bookmaker"": ""Tipico"", ""odds"": 4.0, ""stake_pct"": 25.22, ""stake_amount"": 252.22}, ""Lazio"": {""bookmaker"": ""Betfair"", ""odds"": 7.4, ""stake_pct"": 13.63, ""stake_amount"": 136.34}, ""Napoli"": {""bookmaker"": ""GTbets"", ""odds"": 1.65, ""stake_pct"": 61.14, ""stake_amount"": 611.44}}"
2026-04-16 11:07 UTC,ARBITRAGE,soccer,SC Freiburg vs 1. FC Heidenheim,Bundesliga - Germany,h2h,0.87,SURE,8.7,"{""Draw"": {""bookmaker"": ""BetOnline.ag"", ""odds"": 4.45, ""stake_pct"": 22.67, ""stake_amount"": 226.69}, ""1. FC Heidenheim"": {""bookmaker"": ""Unibet (SE)"", ""odds"": 5.4, ""stake_pct"": 18.68, ""stake_amount"": 186.81}, ""SC Freiburg"": {""bookmaker"": ""Smarkets"", ""odds"": 1.72, ""stake_pct"": 58.65, ""stake_amount"": 586.5}}"
2026-04-16 11:07 UTC,ARBITRAGE,soccer,FSV Mainz 05 vs Bayern Munich,Bundesliga - Germany,h2h,0.834,SURE,8.34,"{""Draw"": {""bookmaker"": ""BetOnline.ag"", ""odds"": 5.5, ""stake_pct"": 18.33, ""stake_amount"": 183.35}, ""FSV Mainz 05"": {""bookmaker"": ""Unibet (SE)"", ""odds"": 6.4, ""stake_pct"": 15.76, ""stake_amount"": 157.56}, ""Bayern Munich"": {""bookmaker"": ""1xBet"", ""odds"": 1.53, ""stake_pct"": 65.91, ""stake_amount"": 659.09}}"
2026-04-16 11:07 UTC,ARBITRAGE,soccer,Paris Saint Germain vs Bayern Munich,UEFA Champions League,h2h,0.792,SURE,7.92,"{""Paris Saint Germain"": {""bookmaker"": ""1xBet"", ""odds"": 2.43, ""stake_pct"": 41.48, ""stake_amount"": 414.81}, ""Draw"": {""bookmaker"": ""Coolbet"", ""odds"": 4.2, ""stake_pct"": 24.0, ""stake_amount"": 240.0}, ""Bayern Munich"": {""bookmaker"": ""Betfair"", ""odds"": 2.92, ""stake_pct"": 34.52, ""stake_amount"": 345.2}}"
2026-04-16 11:07 UTC,ARBITRAGE,soccer,Fiorentina vs Sassuolo,Serie A - Italy,h2h,0.647,SURE,6.47,"{""Sassuolo"": {""bookmaker"": ""BetOnline.ag"", ""odds"": 4.7, ""stake_pct"": 21.42, ""stake_amount"": 214.15}, ""Draw"": {""bookmaker"": ""Unibet (SE)"", ""odds"": 3.5, ""stake_pct"": 28.76, ""stake_amount"": 287.57}, ""Fiorentina"": {""bookmaker"": ""Nordic Bet"", ""odds"": 2.02, ""stake_pct"": 49.83, ""stake_amount"": 498.27}}"
2026-04-16 11:07 UTC,ARBITRAGE,soccer,Metz vs Paris FC,Ligue 1 - France,h2h,0.644,SURE,6.44,"{""Metz"": {""bookmaker"": ""Unibet (SE)"", ""odds"": 3.7, ""stake_pct"": 27.2, ""stake_amount"": 272.02}, ""Draw"": {""bookmaker"": ""Coolbet"", ""odds"": 3.75, ""stake_pct"": 26.84, ""stake_amount"": 268.4}, ""Paris FC"": {""bookmaker"": ""GTbets"", ""odds"": 2.19, ""stake_pct"": 45.96, ""stake_amount"": 459.58}}"
2026-04-16 11:07 UTC,ARBITRAGE,soccer,Chelsea vs Manchester United,EPL,h2h,0.619,SURE,6.19,"{""Manchester United"": {""bookmaker"": ""Smarkets"", ""odds"": 3.3, ""stake_pct"": 30.49, ""stake_amount"": 304.92}, ""Draw"": {""bookmaker"": ""Betfair"", ""odds"": 3.85, ""stake_pct"": 26.14, ""stake_amount"": 261.36}, ""Chelsea"": {""bookmaker"": ""GTbets"", ""odds"": 2.32, ""stake_pct"": 43.37, ""stake_amount"": 433.72}}"
